time,oil,ore,uranium,diamonds,helium-3,rivalium,tanks,aircrafts,missiles,bombers,laser drones
2021-02-17 13:29:30,248,216,2097,1546000,787000,169999,9490,56998,406000,638861,280000000
2021-02-17 13:40:06,247,216,2098,1546000,788000,162000,9825,56998,406000,638858,281975000
2021-02-17 13:50:44,247,216,2097,1545000,787999,161999,9876,56998,406000,638855,281975000
2021-02-17 17:51:02,247,215,2018,1560000,797996,200000,9895,57499,406989,629995,281499000
2021-02-17 18:01:40,248,215,2019,1557000,795999,223000,9891,59610,406989,628000,281499000
2021-02-17 18:12:18,247,216,2000,1557000,788889,219000,9889,59608,406989,627997,281480000
2021-02-17 18:22:57,247,217,2018,1557000,759998,218000,9883,59603,406989,627995,281480000
2021-02-17 18:33:38,246,217,2012,1556000,758999,215000,9950,59958,406990,627999,281499000
2021-02-17 18:44:16,246,217,2011,1550000,796998,208000,9948,59955,406990,627900,281499000
2021-02-17 18:54:55,246,215,2000,1557000,788900,206999,9944,59952,406990,627896,281499000
2021-02-17 19:05:32,246,217,1995,1550000,769999,206000,9896,59948,406990,627893,281000000
2021-02-17 19:16:15,247,214,2020,1557000,757900,190000,9896,59947,406990,627891,280000000
2021-02-17 19:26:53,248,217,2014,1557000,796995,182000,9799,59897,406990,627888,279000000
2021-02-17 19:37:28,246,216,2000,1559890,769999,199500,9950,59893,406990,632998,278965000
2021-02-17 19:48:08,245,215,2008,1550000,769999,199000,9944,59894,406990,631999,278965000
2021-02-17 19:58:46,246,215,2000,1559000,784997,197000,9933,59889,406990,631997,278965000
2021-02-17 20:09:25,246,215,2015,1566670,775000,190000,9929,59884,406990,631992,278896000
2021-02-17 20:20:03,247,215,2029,1566670,760000,183990,9932,59879,406990,631987,278895000
2021-02-17 20:30:46,246,215,2028,1566670,770000,170000,9931,59876,406990,631982,278893000
2021-02-17 20:41:25,246,214,2026,1565000,767997,169999,9927,59871,406990,631977,278893000
2021-02-17 20:52:24,246,214,2028,1565000,760000,179999,9922,59865,406990,631972,278800000
2021-02-17 21:03:27,243,211,2026,1550000,759898,179999,9495,59000,406990,631967,274999000
2021-02-17 21:14:32,247,212,2031,1562000,759900,182999,9099,59000,406990,631963,274999000
2021-02-17 21:25:33,246,212,2029,1560000,759000,179999,9487,58995,406990,631957,274998000
2021-02-17 21:36:39,246,212,2032,1560000,799000,196999,9449,59867,406990,631952,273000000
2021-02-17 21:47:38,244,212,2030,1555670,799000,188995,9297,59495,406990,631948,631948
2021-02-17 21:58:33,245,214,2000,1550000,795993,177000,9292,59490,406990,631943,274800000
2021-02-18 03:02:23,244,216,2022,1590000,847000,208999,9926,58983,409895,618980,291500000
2021-02-18 03:13:07,247,213,2017,1560000,830000,205000,9922,58979,409895,641000,291000000
2021-02-18 03:23:49,243,213,2192,1590000,870000,205000,9987,59997,409894,640000,290893000
2021-02-18 03:34:29,246,212,2186,1590000,850000,206500,9983,59994,410000,639998,290893000
2021-02-18 03:45:09,247,213,2099,1555000,825000,203500,9987,59989,409999,639997,290893000
2021-02-18 03:55:49,247,215,2095,1594000,869998,205999,9999,59983,409999,639997,287984000
2021-02-18 04:06:32,247,214,2142,1592000,867000,203500,9995,59979,409999,639997,287984000
2021-02-18 04:17:13,247,212,2118,1589000,820000,199999,9996,59974,409999,639997,287984000
2021-02-18 04:27:56,248,216,2068,1565000,808000,180000,9900,59971,408000,639000,287983000
2021-02-18 04:38:39,246,213,2049,1565000,808000,179999,9897,59967,409999,633000,287984000
2021-02-18 04:49:24,247,215,2018,1565000,810000,177000,9893,59963,409999,632997,287984000
2021-02-18 05:00:10,247,213,2015,1592000,815000,169999,9884,59900,409999,632996,286984000
2021-02-18 05:10:58,247,214,2200,1592000,814000,175999,9878,59869,409999,669999,286984000
2021-02-18 05:21:42,245,216,2246,1594000,815995,175500,9814,59599,409999,668498,299967000
2021-02-18 05:32:28,242,216,2238,1594500,798000,164500,9806,59593,409999,668495,299967000
2021-02-18 05:43:18,244,214,2200,1595000,839000,189997,9802,59589,409999,668493,299266000
2021-02-18 05:54:10,246,214,2196,1559000,847994,181996,9797,59585,409999,668489,297999000
2021-02-18 06:05:01,249,214,2080,1559000,840000,181992,9500,55000,409999,668485,290000000
2021-02-18 06:15:51,249,214,2074,1595000,844999,179998,9495,59496,409999,667998,290000000
2021-02-18 06:26:47,248,213,2100,1594000,848995,181996,9800,59492,409999,667553,299250000
2021-02-18 06:37:35,248,213,2000,1592000,840000,180994,9814,59487,410000,667548,299250000
2021-02-18 06:48:23,245,212,2093,1591990,850000,189899,9806,59483,410000,667544,299248000
2021-02-18 13:58:30,246,213,2003,1560000,850000,150000,9776,58483,409999,649985,300000000
