time,oil,ore,uranium,diamonds,helium-3,rivalium,tanks,aircrafts,missiles,bombers,laser drones
2020-12-14 13:42:54,244,234,234,1500000,801500,114999,11899,60880,399989,605997,249990000
2020-12-14 13:53:09,244,234,2288,1495000,801500,114000,11000,60000,399989,605997,249990000
2020-12-14 14:03:11,241,234,2275,1500000,801000,114999,11895,58000,399989,600000,250000000
2020-12-14 14:13:11,239,229,2274,1500000,800000,114499,11000,60000,399989,605997,250000000
2020-12-14 14:23:29,242,230,2269,1499000,801500,120000,10500,60000,399989,605997,250000000
2020-12-14 14:33:54,240,230,2269,1499000,801500,114000,10249,59999,399989,605997,250000000
2020-12-14 14:43:55,240,230,2266,1500000,801500,115000,10249,59999,399989,605997,250000000
2020-12-14 14:54:12,240,230,2250,1500000,801500,115000,10245,59999,399989,605995,250000000
2020-12-14 15:04:15,239,219,2239,1500000,801999,115000,10000,59999,399989,605995,250000000
2020-12-14 15:14:15,239,228,2239,1500000,801999,115000,9999,59999,399989,605997,250000000
2020-12-14 15:24:29,234,228,2215,1500000,801999,115000,11900,60000,399989,618000,250000000
2020-12-14 15:34:32,240,226,2200,1500000,801999,129900,10250,59995,399989,617995,250000000
2020-12-14 15:44:31,240,226,2200,1500000,801999,129900,10249,60000,399989,617995,250000000
2020-12-14 15:54:49,241,225,2200,1490000,801999,129900,9999,59999,399989,617995,250000000
2020-12-14 16:04:52,238,220,2200,1480000,801000,128000,9999,59999,399989,620000,250000000
2020-12-14 16:14:54,242,224,2200,1480000,801000,125500,10249,59999,399989,399989,250000000
2020-12-14 16:25:11,248,229,2199,1499000,801999,125000,10249,59998,399989,620000,250000000
2020-12-14 16:35:15,247,228,2196,1498900,801999,124996,10249,61998,399989,619999,250000000
2020-12-14 16:45:15,238,225,2193,1498560,801000,124990,11894,61994,399989,619999,250000000
2020-12-14 16:55:34,239,226,2098,1498550,801000,124988,11895,64990,399989,620000,250000000
2020-12-14 17:05:40,239,224,2096,1498550,800990,124986,11899,65000,399989,619999,250000000
2020-12-14 17:15:44,240,227,2097,1490000,800990,124984,11799,64898,399989,620000,250000000
2020-12-14 17:26:00,241,228,2100,1497550,800990,128998,10250,64897,399989,619999,249999000
2020-12-14 17:36:03,240,227,2098,1497550,801998,125499,10050,64895,399989,619795,250000000
2020-12-14 17:46:47,240,225,2096,1470000,801500,125497,10149,64894,399989,619799,250000000
2020-12-14 18:08:30,240,222,2185,1498000,800999,125494,10250,64749,399989,619789,250000000
2020-12-14 18:18:32,239,222,2178,1498000,800998,123999,10049,64744,399989,619784,250000000
2020-12-14 18:28:33,237,220,2177,1489900,800997,119999,10000,64744,399989,619783,250000000
2020-12-14 18:38:32,238,222,2198,1488000,800996,119997,10250,64744,399989,619782,250000000
2020-12-14 18:48:34,234,224,2209,1488000,800996,118999,11900,64898,399989,619782,250000000
2020-12-14 18:58:34,238,224,2067,1499990,801998,114999,11900,64850,399989,619782,250000000
2020-12-14 19:08:38,235,230,2287,1490000,800999,114993,10500,64849,399989,619782,250000000
2020-12-14 19:18:37,239,229,2199,1495000,800999,114989,10250,64849,399989,600000,250000000
2020-12-14 19:28:38,237,225,2196,1494960,800999,119998,10299,64849,399989,600000,251000000
2020-12-14 19:38:33,240,228,2194,1494960,800999,109999,10200,64980,399989,599999,254998000
2020-12-14 19:53:04,239,229,2189,1485480,800999,127000,10259,64995,399989,619782,252000000
2020-12-14 20:03:15,237,229,2160,1499990,801998,115999,10000,64990,399989,617995,252000000
2020-12-14 20:14:12,240,230,2159,1499000,800000,105999,9950,64989,399989,617993,250000000
2020-12-14 20:25:11,239,229,2156,1485480,801000,111110,11950,64989,399989,617990,254000000
2020-12-14 20:36:15,238,229,2153,1499000,810000,127000,12000,64900,399989,617989,254000000
2020-12-14 20:47:16,239,227,2154,1485480,808999,126998,10249,64899,399989,617994,254000000
2020-12-14 20:58:16,238,227,2152,1495000,804000,120000,10000,64849,399989,617998,253000000
2020-12-14 21:02:06,238,226,2152,1495000,804000,120000,10114,64800,399989,617998,253000000
2020-12-14 21:22:03,239,225,2140,1495000,802000,108000,9990,64799,399989,617994,253000000
2020-12-15 00:31:05,239,233,2096,1500000,802000,116000,9999,59993,399989,617989,253000000
2020-12-15 00:51:06,239,230,2085,1499000,802000,116000,10666,59998,399990,617985,252999000
2020-12-15 12:25:12,247,231,2134,1494000,815000,130000,11881,59998,400649,604999,251000000
2020-12-15 12:35:19,247,231,2132,1494000,815000,130000,11800,59998,400649,604999,251000000
2020-12-15 12:45:15,246,232,2131,1494000,815000,130000,11799,59998,400649,604999,251000000
2020-12-15 12:51:43,246,231,2129,1494000,818000,130000,11799,59998,400649,604999,251000000
2020-12-15 13:01:37,246,233,2198,1495000,818000,130000,11799,59998,400649,604999,251000000
2020-12-15 13:11:33,239,233,2199,1495500,818000,130000,11799,59998,400649,604999,252000000
2020-12-15 13:21:34,239,233,2300,1495500,815000,130000,11799,59998,400649,604999,252000000
2020-12-15 13:31:31,239,232,2289,1495500,815000,118000,10350,59999,400649,604999,252000000
2020-12-15 13:41:29,244,232,2287,1495500,815000,118000,10349,59998,400649,604999,252000000
2020-12-15 13:51:31,240,232,2283,1495500,815000,118000,10348,59998,400649,604999,252000000
2020-12-15 14:01:28,240,232,2279,1495500,815000,118000,10348,59998,400649,604999,252000000
2020-12-15 14:11:23,240,231,2276,1495500,815000,118000,10347,59998,400649,604999,252000000
2020-12-15 14:21:25,240,230,2269,1495500,815000,118000,10347,59998,400649,604999,252000000
2020-12-15 14:31:21,240,230,2265,1495500,815000,117000,10246,59998,400649,604999,251999000
2020-12-15 14:41:13,239,229,2263,1495500,815000,117000,10146,59998,400649,604999,251999000
2020-12-15 14:51:14,240,231,2259,1495500,815000,117000,10099,59998,400649,604999,251999000
2020-12-15 15:01:09,235,228,2254,1494990,811999,116000,10350,59999,400649,604999,251999000
2020-12-15 15:11:07,243,231,2252,1494990,811998,116000,10099,59999,400649,604999,251999000
2020-12-15 15:21:09,245,231,2255,1500000,810000,115199,10250,60000,400649,605000,251999000
2020-12-15 15:31:03,246,231,2251,1500000,809000,116000,10250,59999,400649,604999,251999000
2020-12-15 15:41:01,241,231,2248,1499990,805000,116000,9999,59999,400649,604999,251999000
2020-12-15 15:51:17,242,232,2253,1500000,800000,115000,10249,59999,400649,604999,251999000
2020-12-15 16:01:14,241,231,2249,1500000,802999,115000,9999,59999,400649,605000,251999000
2020-12-15 16:11:09,242,222,2198,1500000,805000,115000,9997,59999,400649,604999,251999000
2020-12-15 16:31:53,245,230,2183,1500000,809000,116000,9993,59999,400649,605997,251999000
2020-12-15 16:41:49,245,230,2175,1499990,809000,116000,9989,59999,400649,605998,251999000
2020-12-15 16:52:08,250,227,2173,1489990,809000,116000,11499,59999,400649,605997,251999000
2020-12-15 17:02:06,248,227,2171,1480000,809000,116000,11882,60000,400649,605997,251999000
2020-12-15 17:12:33,240,226,2100,1499980,809000,119999,11882,59998,400649,605997,251999000
2020-12-15 17:23:46,244,232,2169,1498990,810000,116000,10249,59995,400649,605997,251998000
2020-12-15 17:41:59,240,231,2164,1500000,810000,117000,10250,59995,400649,605997,251998000
2020-12-15 17:51:57,242,232,2149,1499500,809999,117000,10250,59996,400649,609900,251998000
2020-12-15 18:01:54,242,233,2144,1499500,809999,117000,11800,59995,400649,609899,251999000
2020-12-15 18:11:49,242,230,2134,1499500,808999,116998,11799,59996,400649,609899,251999000
2020-12-15 18:21:44,241,230,2131,1499500,799999,116994,10249,59995,400649,609899,251999000
2020-12-15 18:31:38,240,230,2128,1495500,808990,129997,10249,59995,400649,609899,251000000
2020-12-15 18:41:37,243,230,2125,1495500,808990,129994,10246,59995,400649,609899,251000000
2020-12-15 18:51:32,240,227,2120,1488990,808990,129990,10249,59995,400649,609899,251000000
2020-12-15 19:01:29,241,228,2116,1495500,808990,114998,11748,59995,400649,609899,251000000
2020-12-15 19:11:25,245,228,2114,1490000,808990,114994,10250,59995,400649,609899,251000000
2020-12-15 19:21:20,244,226,2112,1499500,808990,114996,11741,59995,400649,609899,251000000
2020-12-15 19:31:14,244,224,2108,1498990,807000,116998,10249,59995,400649,609895,251000000
2020-12-15 19:42:07,235,223,2105,1498990,806989,124999,11730,31111,400649,400649,251000000
2020-12-15 19:52:05,244,226,2105,1490490,805000,117000,10249,59989,400649,609895,251000000
2020-12-15 20:11:53,242,227,2100,1498000,805000,127000,9999,59990,400649,609898,251000000
2020-12-15 20:21:48,247,226,2098,1498000,806989,127000,11599,59989,400649,609898,251000000
2020-12-15 20:31:49,245,226,2095,1497990,800000,125000,10250,59989,400649,609898,251000000
2020-12-15 20:52:04,245,227,2097,1499500,800000,123000,10244,59989,400000,609898,251000000
2020-12-15 21:02:08,243,227,2095,1499000,800000,123000,10243,59989,400000,609898,251000000
2020-12-15 21:12:08,245,225,2090,1499000,806980,111000,10243,59984,400000,609898,251000000
2020-12-15 21:22:08,244,230,2090,1498560,805000,127000,10199,59985,400000,609898,251999000
2020-12-15 21:32:07,244,229,2097,1497000,805000,127000,10243,59990,400000,609898,251999000
2020-12-15 21:42:23,240,230,2096,1493000,804499,110000,10240,59995,400000,609898,251999000
2020-12-15 21:52:26,243,229,2093,1493000,804999,126995,9997,59995,400000,608000,251999000
2020-12-15 22:02:29,249,230,2185,1495500,804998,122000,9996,59995,400000,607999,251999000
2020-12-15 22:12:29,247,229,2183,1495500,804998,119994,9990,59995,400000,607995,251999000
2020-12-15 22:15:04,246,229,2200,1495500,804998,118000,9996,59995,400000,607995,251999000
